class,dataset_type,value
dcb921b4517a45db8853bfdd4d0cafdc,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
dcb921b4517a45db8853bfdd4d0cafdc,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dcb921b4517a45db8853bfdd4d0cafdc,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
dcb921b4517a45db8853bfdd4d0cafdc,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dcb921b4517a45db8853bfdd4d0cafdc,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dcb921b4517a45db8853bfdd4d0cafdc,caption,[]
a4bc4accb20b43ffa728a7a85b7dfed7,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
a4bc4accb20b43ffa728a7a85b7dfed7,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
a4bc4accb20b43ffa728a7a85b7dfed7,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
a4bc4accb20b43ffa728a7a85b7dfed7,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
a4bc4accb20b43ffa728a7a85b7dfed7,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
a4bc4accb20b43ffa728a7a85b7dfed7,caption,[]
7e12ac07201647debdada98877db130a,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
7e12ac07201647debdada98877db130a,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
7e12ac07201647debdada98877db130a,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
7e12ac07201647debdada98877db130a,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
7e12ac07201647debdada98877db130a,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
7e12ac07201647debdada98877db130a,caption,[]
e7d9f34a276b4a129179e42bacf4fcef,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
e7d9f34a276b4a129179e42bacf4fcef,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
e7d9f34a276b4a129179e42bacf4fcef,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
e7d9f34a276b4a129179e42bacf4fcef,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
e7d9f34a276b4a129179e42bacf4fcef,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
e7d9f34a276b4a129179e42bacf4fcef,caption,[]
66abd679b8934298ba8af35db56d8106,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
66abd679b8934298ba8af35db56d8106,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
66abd679b8934298ba8af35db56d8106,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
66abd679b8934298ba8af35db56d8106,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
66abd679b8934298ba8af35db56d8106,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
66abd679b8934298ba8af35db56d8106,caption,[]
8e1627c5b589420c9bbed0e0cfef1502,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
8e1627c5b589420c9bbed0e0cfef1502,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
8e1627c5b589420c9bbed0e0cfef1502,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
8e1627c5b589420c9bbed0e0cfef1502,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
8e1627c5b589420c9bbed0e0cfef1502,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
8e1627c5b589420c9bbed0e0cfef1502,caption,[]
73e76edb90914783b0fd732ea53b2e46,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
73e76edb90914783b0fd732ea53b2e46,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
73e76edb90914783b0fd732ea53b2e46,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
73e76edb90914783b0fd732ea53b2e46,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
73e76edb90914783b0fd732ea53b2e46,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
